index,brs_id,Направление,Основа,Формирующее подразделение (институт),Формирующее подразделение (департамент),Курс,Год начала,Срок освоения,Средняя оценка ,Средняя оценка по первой сдаче,Код,ОКСО,Направление.1,Уровеь,Уровень,Форма,Олимпиада,Физическая культура,Рисунок,Химия,География,Информатика и ИКТ,История,Математика,Композиционный рисунок,Композиция,Рисунок и композиция,Русский язык,Творческий конкурс,Собеседование,Филология (отечественная),Творческое сочинение,Литература,Филология,Биология,Физика,Академический рисунок,Обществознание,Английский язык,Вступительный экзамен по программе,Иностранный язык,История искусств,Final Avg,Final Exam Avg,HW Avg,TC Avg,id,ig Avg,metrology Avg,ng Avg,sootv Avg,stand Avg,termodin Avg,username,БП Avg,ДЗ Avg,ДР Avg,Дз1 Avg,Дз2 Avg,З Avg,ИЗ Avg,ИТ Avg,КЗ Avg,ПЗ Avg,Практ Avg,РТ Avg,Т Avg,ТЗ Avg,Тест Avg,УЗ Avg
4031,studen18ggl5g0000jis8gubah9j0ju8,uncass18ggl5g0000j12bmf3eofkej3s,сверхплановое место,"Физической культуры, спорта и молодежной политики",0,5,2013,5.0,0.0,0.0,43.00.00,43.03.01,Сервис,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197311,0.0,0.0,0.0,0.0,0.0,0.0,Kirito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3880,studen18ggl5g0000ku9n0ug3fg8c79g,uncass18ggl5g0000kail4d1g44ti8bs,сверхплановое место,Строительный,0,3,2015,4.0,60.49,57.65,08.00.00,08.03.01,Строительство,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190079,0.0,0.0,0.0,0.0,0.0,0.0,Denis_Martynkov,0.0,0.0,0.0,0.0,0.0,0.0,0.986206897,0.0,0.0,0.666666667,0.95691497,0.0,0.0,0.0,0.0,0.0
5292,studen18hc2jg0000ld73g0pr808n754,uncass18ggl5g0000kaou92csl390qkc,госбюджетное место,Радиоэлектроники и информационных технологий - РТФ,Школа профессионального и академического образования,2,2016,5.5,56.1,56.1,11.00.00,11.05.01,Радиоэлектронные системы и комплексы,65,Специалист,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321081,0.0,0.0,0.0,0.0,0.0,0.0,wamdue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,studen18hc2jg0000lepf3kfpd2re9k4,uncass18ggl5g0000kail4d1g44ti8bs,сверхплановое место,Строительный,0,2,2016,3.6,0.0,0.0,08.00.00,08.03.01,Строительство,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115942029,0.0,0.0,0.0,283442,0.18907563,0.0,0.32894715,0.0,0.0,0.0,vorobyeva010815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2508,studen18ggl5g0000ku9kspbmtrfr89c,uncass18ggl5g0000kail4d1g44ti8bs,госбюджетное место,Строительный,0,3,2015,4.0,70.34,69.71,08.00.00,08.03.01,Строительство,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195899,0.0,0.0,0.0,0.0,0.0,0.0,89041621406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3735,studen18ggl5g0000kgncsmd86sodjc4,uncass18ggl5g0000kaio4dnpb6qks30,госбюджетное место,Уральский энергетический,0,4,2014,4.1,0.0,0.0,13.00.00,13.03.01,Теплоэнергетика и теплотехника,62,Бакалавр,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59650,0.0,0.0,0.0,0.0,0.0,0.0,vlasovigor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5346,studen18hc2jg0000ldhc2d1pi3b30b4,uncass18hc2jg0000l6udkbc8999b154,госбюджетное место,Естественных наук и математики,Школа наук,2,2016,2.0,60.07,64.08,04.00.00,04.04.01,Химия,68,Магистр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249041,0.0,0.0,0.0,0.0,0.0,0.0,Forever2014,0.0,0.0,0.0,0.0,0.0,0.0,0.833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716175766
3009,studen18hc2jg0000ld72qa8g0tvb58k,uncass18ggl5g0000kaipkt09a1ka2n8,госбюджетное место,Физико-технологический,0,2,2016,4.0,84.25,84.25,27.00.00,27.03.01,Стандартизация и метрология,62,Бакалавр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129166667,0.0,195075,0.0,0.0,0.0,0.0,0.0,0.0,jaswetlana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1340,studen18hc2jg0000lete57gq35l7070,uncass18ggl5g0000kaine6felfa21hg,сверхплановое место,Новых материалов и технологий,Машиностроения,2,2016,3.6,0.0,0.0,15.00.00,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,61,Прикладной бакалавриат,Заочная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215365,0.0,0.0,0.0,0.0,0.0,0.0,alex19rus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538,0.0
4754,studen18hc2jg0000lsa2v9ed6mhubh8,uncass18hc2jg0000lme5o4qor3h57kg,госбюджетное место,Радиоэлектроники и информационных технологий - РТФ,Школа профессионального и академического образования,1,2017,2.0,0.0,0.0,09.00.00,09.04.03,Прикладная информатика,68,Магистр,Очная,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083333333,0.0,259605,0.0,0.0,0.0,0.0,0.0,0.0,Feelstr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
