index,Направление,Основа,Формирующее подразделение (институт),Формирующее подразделение (департамент),Курс,Год начала,Срок освоения,Средняя оценка ,Средняя оценка по первой сдаче,Код,ОКСО,Направление.1,Уровеь,Уровень,Форма,Олимпиада,Физическая культура,Рисунок,Химия,География,Информатика и ИКТ,История,Математика,Композиционный рисунок,Композиция,Рисунок и композиция,Русский язык,Творческий конкурс,Собеседование,Филология (отечественная),Творческое сочинение,Литература,Филология,Биология,Физика,Академический рисунок,Обществознание,Английский язык,Вступительный экзамен по программе,Иностранный язык,История искусств,id,username
0,200,0,2,29,1,2017,2.0,0.0,0.0,3,14,92,68,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298459,570
1,66,0,4,11,3,2015,5.0,0.0,0.0,14,57,74,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160700,934
2,128,1,1,4,1,2017,5.0,0.0,0.0,27,100,11,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,200655,872
3,72,0,4,11,2,2016,4.0,61.26,60.57,21,79,46,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,280247,931
4,201,0,13,0,1,2017,2.0,0.0,0.0,16,65,90,68,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146479,360
5,68,0,4,11,2,2016,4.0,61.15,0.0,14,58,0,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,223654,958
6,66,1,4,11,3,2015,3.6,0.0,0.0,14,57,74,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,82398,748
7,73,0,4,11,3,2015,4.0,61.89,62.58,21,80,97,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,83137,110
8,114,0,4,14,4,2014,4.0,62.1,62.89,20,75,36,62,1,1,0,0.0,0.0,86.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179015,661
9,89,0,9,0,2,2016,4.0,84.25,84.25,22,82,69,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,133088,489
10,77,0,8,0,4,2014,4.0,78.36,78.36,12,48,101,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,148680,905
11,66,1,4,11,3,2015,3.6,0.0,0.0,14,57,74,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,31728,929
12,60,1,6,0,2,2016,3.6,0.0,0.0,7,19,70,62,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,302063,890
13,72,0,4,11,2,2016,4.0,59.92,62.59,21,79,46,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,281445,792
14,76,0,8,0,3,2015,4.0,61.49,70.47,12,47,100,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,197719,517
15,75,0,8,0,3,2015,4.0,80.88,80.88,12,46,73,62,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,89376,404
